Topic,Count,Name,Representation,Representative_Docs
10,454,10_expedition_named_names_committee,"['expedition', 'named', 'names', 'committee', 'mapped', 'photos', 'survey', 'surveys', 'geological', 'station']","['It was mapped by the United States Geological Survey from surveys and U.S. Navy air photos, 1960 -- 64, and was named by the Advisory Committee on Antarctic Names for David L. Mericle, U.S. Navy, an electronics technician at McMurdo Station, 1967.', 'It was discovered and photographed by the Ronne Antarctic Research Expedition, 1947 -- 48, was mapped by the United States Geological Survey from surveys and U.S. Navy air photos, 1961 -- 67, and was named by the Advisory Committee on Antarctic Names for W.H. Jenkins, a hospital corpsman at South Pole Station, winter party 1963.', 'Named by the New Zealand Antarctic Place-Names Committee (NZ-APC) for W. Romanes, mountaineer assistant with the expedition.']"
11,450,11_students_offers_courses_master,"['students', 'offers', 'courses', 'master', 'degrees', 'graduate', 'undergraduate', 'degree', 'school', 'bachelor']","[""The university offers undergraduate bachelor 's degrees, graduate master 's degrees and doctoral degrees, organized into eight colleges and schools and one Methodist seminary."", 'Another particularity of the school is to admit students holder of a Bachelor, a Master or a Ph.D..', 'There are about 13000 undergraduate students and more than 100 graduate students.']"
12,450,12_coal_mining_ash_fired,"['coal', 'mining', 'ash', 'fired', 'tonnes', 'mines', 'power', 'reserves', 'burning', 'gas']","['In 2011 Shanxi Coking Coal Group is the largest Chinese miner for coking coal (metallurgical coal).', 'The Tugnui Coal Mine is a coal mine located in Buryatia.', 'Coal-water slurry fuel was made in a ball mill which pulverised the coal or coal sludge.']"
13,441,13_cattle_agriculture_farming_livestock,"['cattle', 'agriculture', 'farming', 'livestock', 'agricultural', 'farmers', 'dairy', 'animal', 'economy', 'sheep']","['Intensive animal farming or industrial livestock production, also known by its opponents as factory farming, is a type of intensive agriculture, specifically an approach to animal husbandry designed to maximize production, while minimizing costs.', 'The primary economy of the county has always been agricultural and livestock farming based.', 'Its economy is based on agriculture and cattle raising.']"
14,440,14_boxing_fight_boxer_champion,"['boxing', 'fight', 'boxer', 'champion', 'heavyweight', 'welterweight', 'fighting', 'professional', 'martial', 'middleweight']","[""Clyde Gray is a Canadian professional welter/light middle/middleweight boxer of the 1960s, '70s and '80s who won the Canada welterweight title, and Commonwealth welterweight title, and was a challenger for the North American Boxing Federation (NABF) welterweight title against Armando Muñíz, and Pete Ranzany, World Boxing Council (WBC) welterweight title against José Nápoles, and World Boxing Association (WBA) World welterweight title against José Nápoles, Ángel Espada, and José ``Pipino'' Cuevas, his professional fighting weight varied from 144 lb, i.e. welterweight to 155 +1 / 2 lb, i.e. middleweight, he was managed by Irving Ungerman, and trained by Teddy McWhorter and Lee Black."", 'Brandon W.K. Wolff (born October 18, 1975) is an American mixed martial artist and former Navy SEAL, who is perhaps best known for his two-fight stint in the Welterweight division of the Ultimate Fighting Championship.', 'Andy Holligan (born 6 June 1967 in Liverpool) is an English amateur light welterweight and professional light welter/welter/light middleweight boxer of the 1980s and 1990s, who as an amateur won the 1987 Amateur Boxing Association of England (ABAE) light welterweight title, against Richard Bryan (Fitzroy Lodge ABC (London)), boxing out of Rotunda ABC (Liverpool), and as a professional won the British Boxing Board of Control (BBBofC) British light welterweight title (twice), and Commonwealth light welterweight title (twice), and was a challenger for the World Boxing Council (WBC) light welterweight title against Julio César Chávez, and World Boxing Union (WBU) light welterweight title against Shea Neary, his professional fighting weight varied from 139 lb, i.e. light welterweight to 153 lb, i.e. light middleweight.']"
15,429,15_elevation_feet_highest_level,"['elevation', 'feet', 'highest', 'level', 'ft', 'sea', 'peak', 'mountain', 'lies', 'metres']","['Its highest peak Orlovača has an elevation of 1,693 meters above sea level.', 'With an elevation of 1353 m above sea level, the peak is the 46th highest mountain in Tasmania.', 'It has an elevation of 495 feet (151 m) above sea level.']"
16,412,16_solar_photovoltaic_power_systems,"['solar', 'photovoltaic', 'power', 'systems', 'thermal', 'photovoltaics', 'panels', 'heating', 'cells', 'electricity']","['These cells are assembled into solar panels as part of a photovoltaic system to generate solar power from sunlight.', 'Solar thermal power stations include the 354\xa0megawatt (MW) Solar Energy Generating Systems power plant in the US, Solnova Solar Power Station (Spain, 150\xa0MW), Andasol solar power station (Spain, 100\xa0MW), Nevada Solar One (USA, 64\xa0MW), PS20 solar power tower (Spain, 20\xa0MW), and the PS10 solar power tower (Spain, 11\xa0MW).', 'The Solar Two in Daggett, California and the CESA-1 in Plataforma Solar de Almeria Almeria, Spain, are the most representative demonstration plants.']"
17,399,17_islands_island_atoll_archipelago,"['islands', 'island', 'atoll', 'archipelago', 'mainland', 'new', 'small', 'group', 'south', 'inhabited']","['Most of these are on islands, including several on Whidbey Island and one on San Juan Island.', 'St. Andrews Islands is an island of Papua New Guinea.', 'Nusatupe is an island in the Solomon Islands.']"
18,398,18_hurricane_tropical_cyclone_storm,"['hurricane', 'tropical', 'cyclone', 'storm', 'typhoon', 'cyclones', 'category', 'season', 'landfall', 'winds']","['Tropical Storm Isidore was the 15th tropical cyclone and 9th named storm of the 1984 Atlantic hurricane season.', 'The thirteenth observed tropical cyclone, eleventh tropical storm, and fourth hurricane of the 1942 Atlantic hurricane season, this storm was detected in the vicinity of Turks and Caicos Islands on November 5.', 'Tropical Storm Blanca was a short-lived tropical cyclone during the 2009 Pacific hurricane season.']"
19,379,19_university_school_college_professor,"['university', 'school', 'college', 'professor', 'music', 'medical', 'medicine', 'graduated', 'taught', 'faculty']","['Before joining the faculty at Boston University, he taught at Tufts University, Northwestern University, and the University of Maryland, College Park.', 'He was graduated from Baylor University, Waco, Texas, in 1895, from Yale University, in 1896, and from Columbian University (now George Washington University), Washington, D.C., in 1899.', 'Cyril Y. Bowers, M.D., Emeritus Professor of Medicine at Tulane University School of Medicine, attended medical school at the University of Oregon and did an internship at the University of Washington.']"
20,350,20_wind_farm_turbines_capacity,"['wind', 'farm', 'turbines', 'capacity', 'power', 'electricity', 'installed', 'offshore', 'farms', 'megawatts']","['St. Joseph Wind Farm is a wind energy power plant in southern Manitoba, Canada.', 'Other wind farms include: The Pampilhosa Wind Farm (114 MW) that uses Vestas V90 turbines; The Caramulo Wind Farm with a capacity of 90 MW, using Enercon E-70 E4 and E82/2000 turbines; and the Candeeiros Wind Farm with a capacity of 111 MW, using Vestas V90 turbines.', ""The Roscoe Wind Farm in Roscoe, Texas, Texas's largest wind farm with 627 wind turbines and a total installed capacity of 781.5\xa0MW, surpassed the nearby 735.5\xa0MW Horse Hollow Wind Energy Center.""]"
21,349,21_hockey_season_league_ice,"['hockey', 'season', 'league', 'ice', 'tournament', 'championship', 'men', 'division', 'team', 'level']","['The 2000 -- 01 Austrian Hockey League season was the 71st season of the Austrian Hockey League, the top level of ice hockey in Austria.', 'The 2007-08 Irish Ice Hockey League season was the first season of the Irish Ice Hockey League, the top level of ice hockey in Ireland.', 'The 2009 -- 10 Bulgarian Hockey League season was the 58th season of the Bulgarian Hockey League, the top level of ice hockey in Bulgaria.']"
22,341,22_population_people_census_2010,"['population', 'people', 'census', '2010', 'density', 'estimated', 'inhabitants', '2011', '2005', 'total']","['Population:', 'Population:', 'Population:']"
23,335,23_glaciers_ice_glacier_retreat,"['glaciers', 'ice', 'glacier', 'retreat', 'shelf', 'sheet', 'arctic', 'retreating', 'mass', 'sea']","['In Greenland, glacier retreat has been observed in outlet glaciers, resulting in an increase of the ice flow rate and destabilization of the mass balance of the ice sheet that is their source.', 'Three glaciers that have been researched—Helheim Glacier, Kangerdlugssuaq Glacier, and Jakobshavn Isbræ—jointly drain more than 16% of the Greenland Ice Sheet.', 'Its massif separates two glaciers : the Grosser Aletschfirn and the Jungfraufirn, both part of the Aletsch Glacier.']"
24,329,24_phytoplankton_ocean_oceans_plastic,"['phytoplankton', 'ocean', 'oceans', 'plastic', 'acidification', 'marine', 'dioxide', 'organisms', 'algal', 'dissolved']","['Under future conditions of anthropogenic warming and ocean acidification, changes in phytoplankton mortality may be significant.', 'Plastic pollution can afflict land, waterways and oceans.', ""Ocean acidification is the increase in the acidity of the Earth's oceans caused by the uptake of carbon dioxide () from the atmosphere.""]"
25,328,25_warming_global_climate_change,"['warming', 'global', 'climate', 'change', 'science', 'book', 'scientific', 'blog', 'media', 'scientists']","['Hell and High Water (book), a 2006 book about global warming by Joseph J. Romm', 'In his 2006 book ""The Republican War on Science"", Chris Mooney wrote that Inhofe ""politicizes and misuses the science of climate change"".', 'He also lectures on energy technology, global warming and how the media portrays climate change.']"
26,317,26_professor_sciences_university_science,"['professor', 'sciences', 'university', 'science', 'award', 'botanist', 'fellow', 'astronomy', 'scientist', 'director']","['Andrew Emory Dessler (born 1964) is a climate scientist and Professor of Atmospheric Sciences at Texas A&M University.', 'She is a professor at the University of California, Davis in the Earth and Planetary Sciences Department.', 'He is the Mellon Professor of the Natural Sciences at Lamont-Doherty Earth Observatory of Columbia University.']"
27,315,27_disease_malaria_diseases_virus,"['disease', 'malaria', 'diseases', 'virus', 'fever', 'infection', 'infected', 'outbreak', 'spread', 'infectious']","['As a result, malaria is a common misdiagnosis for the disease.', 'Global warming may extend the favourable zones for vectors conveying infectious disease such as dengue fever, West Nile virus, and malaria.', 'Her research encompasses sexually-transmitted diseases (STDs) such as HIV/AIDS, as well as vector-borne diseases, such as Lyme disease, dengue, and Zika virus and Zika fever.']"
28,310,28_journal_peer_reviewed_articles,"['journal', 'peer', 'reviewed', 'articles', 'journals', 'published', 'publishes', 'papers', 'fiction', 'stories']","['The Journal of Clinical Ophthalmology is a peer-reviewed medical journal of Ophthalmology.', 'The Journal of Epidemiology and Biostatistics is a peer reviewed journal for epidemiological and biostatistical studies.', 'International Journal of Francophone Studies is a quarterly peer-reviewed academic journal published by Intellect.']"
29,297,29_coral_reefs_reef_bleaching,"['coral', 'reefs', 'reef', 'bleaching', 'corals', 'shallow', 'depths', 'barrier', 'waters', 'sea']","['One of the main results of climate change is rising sea water temperature which has a serious effect on coral reefs, through thermal-stress related coral bleaching.', 'There are a few ways to tell the impacts of coral bleaching on reefs.', 'Coral bleaching in the Red Sea is more common in the northern section of the reefs, the southern part of the reef has been plagued by coral eating starfish, dynamite fishing and human impacts on the environment.']"
30,295,30_volcanic_volcano_lava_eruption,"['volcanic', 'volcano', 'lava', 'eruption', 'eruptions', 'volcanoes', 'caldera', 'mantle', 'erupted', 'volcanism']","['The volcanic cone was formed by lava and pyroclastic flows.', 'The eruption had a Volcanic Explosivity Index of 3, and involved a central vent eruption, radial fissure eruption, explosive eruption, lava flows, and a lava lake eruption.', 'The volcanic field is best known for the 18th century eruption of Jorullo volcano, and 20th century eruption of Parícutin volcano.']"
31,292,31_dinosaur_genus_stage_lived,"['dinosaur', 'genus', 'stage', 'lived', 'late', 'ago', 'extinct', 'formation', 'dinosaurs', 'million']","['It lived from 501 to 490 million years ago during the Dresbachian faunal stage of the late Cambrian Period.', ""Hylaeosaurus ([haɪˌliːoʊ-ˈsɔːrəs] ; Greek : hylaios / ὑλαῖος ``belonging to the forest'' and sauros / σαυρος ``lizard'') is a herbivorous ankylosaurian dinosaur that lived about 136 million years ago, in the late Valanginian stage of the early Cretaceous period of England."", ""Halticosaurus (pron. : ``HAL-tick-oh-SORE-us'') is a dubious genus of theropod dinosaur from the late Triassic period (middle Norian stage, around 208 million years ago).""]"
32,282,32_killed_injured_died_people,"['killed', 'injured', 'died', 'people', 'deaths', 'death', 'toll', 'casualties', 'victims', 'passengers']","['He killed 12 people and injured 11 others.', 'Eleven people were killed and twenty-three others were injured.', 'Five people were killed and eight more were injured.']"
33,270,33_warmest_temperature_temperatures_record,"['warmest', 'temperature', 'temperatures', 'record', 'average', 'month', 'coldest', 'instrumental', 'hottest', 'recorded']","['The U.S. had its warmest March–May on record in 2012.', '2016 was the warmest year on record.', 'August was by far the warmest, sunniest, and driest month, with temperatures roughly 2\xa0°C above average.']"
34,254,34_satellite_missile_launched_satellites,"['satellite', 'missile', 'launched', 'satellites', 'spacecraft', 'radio', 'digital', 'launch', 'signal', 'frequency']","[""With Astérix, France became the sixth country to have an artificial satellite in orbit after : USSR (Sputnik 1, 1957), the United States (Explorer 1, 1958), the United Kingdom (Ariel 1, 1962), Canada (Alouette 1, 1962) and Italy (San Marco 1, 1964), and the third to launch a satellite on its own (the UK, Canada and Italy 's satellites were launched on American rockets)."", ""Kosmos 2282 (Космос 2282 meaning Cosmos 2282) is a Russian US-KMO missile early warning satellite which was launched in 1994 as part of the Russian Space Forces ' Oko programme."", 'It was the first Spacebus satellite to be launched.']"
35,249,35_fires_wildfire_burned_destroyed,"['fires', 'wildfire', 'burned', 'destroyed', 'wildfires', 'forest', 'building', 'started', 'burn', 'caught']","['Trimmers were also involved in extinguishing fires in the coal bunkers.', 'The Roblar Fire was a wildfire that burned on Camp Pendleton, San Diego County, California during July 2016.', 'Investigators ruled both fires as arson.']"
36,241,36_forcing_radiative_models_radiation,"['forcing', 'radiative', 'models', 'radiation', 'sensitivity', 'climate', 'feedback', 'feedbacks', 'atmosphere', 'forcings']","['Radiative forcing from sources other than can cause a higher or lower surface warming than a similar radiative forcing due to ; the amount of feedback varies, mainly because these forcings are not uniformly distributed over the globe.', 'Radiative forcing is the imbalance between incoming and outgoing radiation at the top of the atmosphere resulting from a change in atmospheric composition or other changes in radiation budget prior to long-term changes in global temperature resulting from forcing.', 'Although the term climate sensitivity is usually used in the context of radiative forcing by CO, it is thought of as a general property of the climate system: the change in surface air temperature following a unit change in radiative forcing, and the climate sensitivity parameter is therefore expressed in units of °C/(W/m).']"
37,219,37_renewable_energy_technologies_renewables,"['renewable', 'energy', 'technologies', 'renewables', 'efficiency', 'electricity', 'barriers', 'sources', 'technological', 'policy']","['In 2007, ACORE published Outlook On Renewable Energy In America, a two volume report about the future of renewable energy in the United States.', 'Renewable energy and energy efficiency are said to be the ""twin pillars"" of sustainable energy policy.', 'Renewable energy, or energy that is harnessed from renewable sources, is an alternative energy.']"
38,217,38_century_assigned_19th_18th,"['century', 'assigned', '19th', '18th', 'dates', 'middle', '12th', '10th', '17th', '14th']","['Palaeographically it has been assigned to the 13th century.', 'Palaeographically it has been assigned to the 13th century.', 'Additions were made in the late 19th century, with alterations in the 20th century.']"
39,213,39_cloud_clouds_troposphere_stratosphere,"['cloud', 'clouds', 'troposphere', 'stratosphere', 'air', 'vapor', 'condensation', 'atmosphere', 'nuclei', 'albedo']","[""Recent research at CERN's CLOUD facility examined links between cosmic rays and cloud condensation nuclei, demonstrating the effect of high-energy particulate radiation in nucleating aerosol particles that are precursors to cloud condensation nuclei."", 'A cloud étage is a meterological term used to delimit any one of three main altitude levels in the troposphere where certain cloud types usually form.', 'Cloud condensation nuclei or CCNs (also known as cloud seeds) are small particles typically 0.2 µm, or 1/100th the size of a cloud droplet on which water vapor condenses.']"
40,210,40_play_literature_works_plays,"['play', 'literature', 'works', 'plays', 'work', 'language', 'writing', 'books', 'history', 'fiction']","[""It is based on William Shakespeare 's play of the same name."", 'The movie was based on a theatrical play by Stefanos Fotiadis.', 'Dido, Queen of Carthage (play), a play by Christopher Marlowe']"
41,207,41_flowers_white_yellow_flowering,"['flowers', 'white', 'yellow', 'flowering', 'blooms', 'pink', 'flower', 'spring', 'produces', 'cm']","['It blooms from September to November producing yellow-white flowers.', 'The inflorescence is a panicle of small flowers.', 'The flowers have six tepals and nine stamens.']"
42,207,42_pollution_air_particulate_pollutants,"['pollution', 'air', 'particulate', 'pollutants', 'premature', 'deaths', 'matter', 'particulates', 'lung', 'cancer']","['In 2010, air pollution caused 1.2 million premature deaths in China.', 'Air pollution is a significant risk factor for a number of pollution-related diseases, including respiratory infections, heart disease, COPD, stroke and lung cancer.', 'In 2012, air pollution caused premature deaths on average of 1 year in Europe, and was a significant risk factor for a number of pollution-related diseases, including respiratory infections, heart disease, COPD, stroke and lung cancer.']"
43,206,43_sustainability_sustainable_development_business,"['sustainability', 'sustainable', 'development', 'business', 'social', 'goals', 'environmental', 'economic', 'needs', 'economics']","['While the United Nations Millennium Declaration identified principles and treaties on sustainable development, including economic development, social development, and environmental protection, it continued using three domains: economics, environment, and social sustainability.', 'The idea of sustainability as a business opportunity has led to the formation of organizations such as the Sustainability Consortium of the Society for Organizational Learning, the Sustainable Business Institute, and the World Council for Sustainable Development.', 'Sustainability science, like sustainability itself, derives some impetus from the concepts of sustainable development and environmental science.']"
44,202,44_aircraft_car_vehicles_cars,"['aircraft', 'car', 'vehicles', 'cars', 'passenger', 'trucks', 'seat', 'engine', 'fleet', 'sales']","['Also in January 2017, the electrified passenger car segment, consisting of plug-in hybrids, all-electric cars and conventional hybrids, for the first time ever surpassed combined sales of cars with a conventional diesel or gasoline engine, with a market share of 51.4 % of new car sales that month.', 'Passenger airlines usually operate a fleet of passenger aircraft which, rather than being owned outright, are usually leased from commercial aircraft sales and leasing companies.', 'As of 2016, Modo has over 17,000 individual and business members and a fleet of 500 vehicles, including cars, trucks, SUVs, passenger and cargo vans, premium cars, hybrids and electrics.']"
45,201,45_ppm_dioxide_methane_greenhouse,"['ppm', 'dioxide', 'methane', 'greenhouse', 'atmospheric', 'atmosphere', 'carbon', 'concentrations', 'concentration', 'gas']","['The 2\xa0°C rise is typically associated in climate models with a carbon dioxide equivalent concentration of 400–500 ppm by volume; the current (January 2015) level of carbon dioxide alone is 400 ppm by volume, and rising at 1–3 ppm annually.', 'Natural gas is thus a more potent greenhouse gas than carbon dioxide due to the greater global-warming potential of methane.', 'Human activities since the beginning of the Industrial Revolution (around 1750) have produced a 45% increase in the atmospheric concentration of carbon dioxide, from 280 ppm in 1750 to 415 ppm in 2019.']"
46,198,46_fish_genus_family_finned,"['fish', 'genus', 'family', 'finned', 'species', 'ray', 'fishes', 'prehistoric', 'extinct', 'freshwater']","['Torquigener brevipinnis is a species of fish in the family Tetraodontidae.', 'Paracaristius is a genus of fish in the family Caristiidae, the manefishes.', 'Cirrhinus is a genus of fish in the family Cyprinidae, the carps and minnows.']"
47,196,47_formula_acid_compound_molecular,"['formula', 'acid', 'compound', 'molecular', 'refer', 'chemical', 'color', 'inorganic', 'soluble', 'hydrogen']","['Homophthalic acid is a dicarboxylic acid with the formula C6H4 (CO2H) CH2CO2H.', '1,2-Dioxane or o-dioxane is a chemical compound with the molecular formula C4H8O2.', 'Adipic acid or hexanedioic acid is the organic compound with the formula (CH2) 4 (COOH) 2.']"
48,189,48_economics_economic_social_externalities,"['economics', 'economic', 'social', 'externalities', 'economy', 'market', 'developing', 'economists', 'goods', 'benefit']","['This is in contrast to the two other conventional economic doctrines, neoclassical economics and Keynesian economics.', 'Frank notes that treating positional externalities like other externalities might lead to ""intrusive economic and social regulation.', 'These policies are commonly associated with supply-side economics, referred to as trickle-down economics or voodoo economics by political opponents, and free-market economics by political advocates.']"
49,189,49_carbon_trading_price_cap,"['carbon', 'trading', 'price', 'cap', 'emissions', 'market', 'tax', 'pricing', 'allowances', 'trade']","['The optimal carbon price, or optimal carbon tax, is the market price (or carbon tax) on carbon emissions that balances the incremental costs of reducing carbon emissions with the incremental benefits of reducing climate damages.', 'Carbon pricing methods, such as a carbon tax or an emissions trading system, are favored by many economists as the most efficient and effective means to reduce GHG emissions, and are increasingly being deployed around the world.', 'It specifies that countries could use either emissions trading or carbon taxes to price carbon.']"
50,188,50_photosynthesis_photosynthetic_plants_oxygen,"['photosynthesis', 'photosynthetic', 'plants', 'oxygen', 'light', 'fixation', 'organisms', 'dioxide', 'carbon', 'respiration']","['Through the process of photosynthesis, plants capture energy from light and use it to combine carbon dioxide and water to produce carbohydrates and oxygen.', 'This is called oxygenic photosynthesis and is by far the most common type of photosynthesis used by living organisms.', 'Plants and other photoautotrophs use solar energy to produce carbohydrate from atmospheric carbon dioxide and water by photosynthesis.']"
51,179,51_lake_km_area_km2,"['lake', 'km', 'area', 'km2', 'depth', 'square', 'mi', 'metres', 'surface', 'acre']","['The lake has a total surface area of 2659 acre, and a maximum depth of 120 ft. A channel drains from the lake south into Torch Bay, which opens into Portage Lake.', 'The lake covers an area of 344 km2, making it the second-largest lake by surface area in New Zealand (after Lake Taupo) and the largest in the South Island.', 'The surface area of the lake is 0.11 km ²']"
52,175,52_flood_flooding_floods_flooded,"['flood', 'flooding', 'floods', 'flooded', 'heavy', 'storm', 'rains', 'river', 'damage', 'destroyed']","['In some categories, the 1993 flood even surpassed the 1927 flood, at the time the largest flood ever recorded on the Mississippi.', 'Flooding in surrounding areas occurred in 1932 following a torrential downpour that caused the river and surrounding creeks to rise and flood a few hours later.', 'In Poland, where it was one of the most disastrous floods in the history of that country, it was named the Millennium Flood (Powódź tysiąclecia).']"
53,175,53_settlers_century_settlement_indigenous,"['settlers', 'century', 'settlement', 'indigenous', 'native', '16th', 'trade', 'peoples', '17th', 'region']","['European settlers called it ""terra preta de Indio"".', 'Starting in the late 18th century, successive waves of explorers then settlers, mainly Spanish and American, emigrated to the San Joaquin basin, first exploiting then driving out the indigenous tribes.', 'The first wave of English-speaking settlers arrived in North America during the 17th century, followed by further migrations in the 18th and 19th centuries.']"
54,172,54_president_executive_chairman_committee,"['president', 'executive', 'chairman', 'committee', 'appointed', 'served', 'member', 'council', 'vice', 'chair']","['President Trump appointed Rex W. Tillerson, the former chairman and CEO of Exxon Mobil, as secretary of state.', 'The Secretary of Health is a member of the Executive Cabinet and is appointed at the discretion of the President of the Republic.', 'He is a former vice president and Executive Committee member of the Rabbinical Council of America.']"
55,171,55_biofuels_biofuel_biomass_waste,"['biofuels', 'biofuel', 'biomass', 'waste', 'ethanol', 'fuel', 'fuels', 'derived', 'production', 'conversion']","['Second generation biofuels are fuels manufactured from various types of biomass.', 'Biofuels are fuels derived from biomass material such as plants and waste.', 'This new biomass can be used for biofuels.']"
56,171,56_building_construction_restoration_built,"['building', 'construction', 'restoration', 'built', 'restored', 'buildings', 'completed', 'original', 'rebuilt', 'constructed']","['Building construction was completed and the equipment was installed in February 1962.', 'Construction began in 1942, and was completed in April 1944.', 'Construction of the building began in 1968 and was completed in 1972.']"
